field,cam,ncams,w,h,scroll,verts,e_p95,e_max,k_row1,rn_dev,ortho_err,det,pitch
fbg_n09_cshp_map141_ca_dck_1,0,1,320,336,0,36,0.07,0.09,0.93327,0.0001,0.0001,1.0,6.38
fbg_n09_cshp_map142_ca_erm_0,0,1,432,272,1,53,0.02,2.42,0.93324,0.00011,0.00019,1.0,0.95
fbg_n09_cshp_map143_ca_cop_0,0,1,336,240,0,41,0.04,0.06,0.93324,0.0001,8e-05,1.0,-4.05
fbg_n09_cshp_map144_ca_cop_1,0,1,336,240,0,41,0.04,0.06,0.93324,0.0001,8e-05,1.0,-4.05
fbg_n09_cshp_map145_ca_rdk_0,0,1,640,256,1,27,0.0,0.0,0.93335,0.0,5e-05,1.0,0.1
fbg_n10_fnrl_map150_fn_dck_0,0,1,352,256,0,4,0.01,0.01,0.93343,4e-05,0.00011,1.0,17.27
fbg_n11_ldbm_map155_lb_mst_0,0,1,448,352,1,186,0.02,0.03,0.93342,4e-05,0.00013,1.0,-5.7
fbg_n11_ldbm_map156_lb_baz_0,0,1,480,288,1,222,0.01,0.11,0.93335,0.00011,0.00019,1.0,0.06
fbg_n11_ldbm_map157_lb_aly_0,0,1,384,608,1,181,0.05,0.05,0.93328,8e-05,7e-05,1.0,-65.12
fbg_n11_ldbm_map158_lb_plz_0,0,1,512,400,1,237,0.02,0.03,0.93339,9e-05,0.00019,1.0,-68.83
fbg_n11_ldbm_map159_lb_gat_0,0,1,352,240,0,90,0.01,0.01,0.93336,1e-05,0.00021,1.0,8.59
fbg_n11_ldbm_map160_lb_in1_0,0,1,384,272,0,236,0.02,0.12,0.93335,0.00011,0.0,1.0,-0.0
fbg_n11_ldbm_map161_lb_in2_0,0,1,480,320,1,131,0.02,0.03,0.93324,5e-05,7e-05,1.0,-52.81
fbg_n11_ldbm_map162_lb_mtm_0,0,1,320,448,0,118,0.02,0.08,0.93344,9e-05,0.00012,1.0,-13.61
fbg_n11_ldbm_map163_lb_hus_0,0,1,416,304,1,124,0.04,0.04,0.93342,0.00014,6e-05,1.0,-49.6
fbg_n11_ldbm_map164_lb_tmp_0,0,1,480,320,1,230,0.01,0.01,0.93336,3e-05,6e-05,1.0,0.29
fbg_n11_ldbm_map165_lb_itm_0,0,1,400,288,1,120,0.03,0.04,0.9334,7e-05,0.00013,1.0,-29.69
fbg_n11_ldbm_map166_lb_wpn_0,0,1,416,224,1,36,0.04,0.06,0.93322,7e-05,7e-05,1.0,0.9
fbg_n11_ldbm_map167_lb_ech_0,0,1,320,416,0,157,0.0,0.0,0.93325,0.0001,0.00017,1.0,-62.75
fbg_n11_ldbm_map168_lb_rfs_0,0,1,400,224,1,150,0.0,0.01,0.93331,3e-05,0.00019,1.0,-4.89
fbg_n11_ldbm_map169_lb_hig_0,0,1,320,416,0,110,0.02,0.03,0.93343,9e-05,0.00016,1.0,-2.38
fbg_n11_ldbm_map170_lb_fth_0,0,1,400,304,1,136,0.02,0.03,0.93335,8e-05,6e-05,1.0,-15.27
fbg_n11_ldbm_map171_lb_stn_0,0,1,432,288,1,143,0.02,0.07,0.93331,5e-05,4e-05,1.0,-19.44
fbg_n11_ldbm_map172_lb_atl_0,0,1,432,272,1,102,0.02,0.03,0.93344,0.0001,0.00015,1.0,-7.01
fbg_n11_ldbm_map173_lb_ttl_0,0,1,368,256,0,208,0.02,0.02,0.93337,9e-05,0.00022,1.0,-18.93
fbg_n11_ldbm_map174_lb_aet_0,0,1,400,272,1,261,0.02,0.04,0.9334,9e-05,0.00012,1.0,3.26
fbg_n11_ldbm_map175_lb_rod_0,0,1,320,400,0,191,0.01,0.02,0.93327,7e-05,9e-05,1.0,-13.18
fbg_n11_ldbm_map176_lb_ftm_0,0,1,416,288,1,115,0.04,0.05,0.93329,0.00014,0.00014,1.0,-14.14
fbg_n11_ldbm_map177_lb_ldh_0,0,1,432,288,1,129,0.03,0.03,0.93333,8e-05,0.00013,1.0,-25.11
fbg_n11_ldbm_map178_lb_sln_0,0,1,400,224,1,196,0.01,0.03,0.93337,5e-05,0.00022,1.0,-3.74
fbg_n11_ldbm_map180_lb_wgn_0,0,1,320,224,0,121,0.0,0.45,0.93335,7e-05,7e-05,1.0,-0.1
fbg_n11_ldbm_map181_lb_cag_0,0,1,416,336,1,58,0.03,0.04,0.93333,9e-05,0.00018,1.0,-35.87
fbg_n11_ldbm_map182_lb_sht_0,0,1,320,224,0,123,0.05,0.1,0.93335,0.00013,0.00019,1.0,4.92
fbg_n11_ldbm_map183_lb_lft_0,0,1,352,448,0,33,0.0,0.0,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map184_lb_lpf_0,0,1,320,500,1,28,0.07,0.1,0.9334,0.00012,0.00012,1.0,-45.24
fbg_n11_ldbm_map185_lb_hfc_0,0,1,432,336,1,205,0.03,0.1,0.93344,1e-05,8e-05,1.0,-10.11
fbg_n11_ldbm_map186_lb_cfr_0,0,2,448,304,1,95,0.04,0.08,0.93341,0.00013,0.00015,1.0,-21.22
fbg_n11_ldbm_map186_lb_cfr_0,1,2,320,224,0,92,0.01,0.06,0.93326,7e-05,0.00012,1.0,-10.95
fbg_n11_ldbm_map187_lb_met_0,0,1,464,368,1,148,0.02,0.03,0.93323,4e-05,0.00013,1.0,-11.25
fbg_n11_ldbm_map187a_lb_met_a,0,1,464,368,1,148,0.02,0.03,0.93323,4e-05,0.00013,1.0,-11.25
fbg_n11_ldbm_map188_lb_uhw_0,0,1,544,272,1,133,0.07,0.1,0.9333,0.00013,0.00012,1.0,-25.69
fbg_n11_ldbm_map189_lb_lpr_0,0,1,480,352,1,167,0.0,0.01,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map190_lb_obs_0,0,2,512,432,1,163,0.05,0.05,0.93339,8e-05,0.00011,1.0,-19.9
fbg_n11_ldbm_map190_lb_obs_0,1,2,320,224,0,163,0.14,0.22,0.93333,0.00012,0.00014,1.0,-20.82
fbg_n11_ldbm_map191_lb_asd_0,0,1,544,448,1,197,0.01,0.01,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map191a_lb_asd_1,0,1,544,448,1,197,0.01,0.01,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map191b_lb_asd_2,0,1,544,448,1,197,0.01,0.01,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map192_lb_hal_0,0,1,400,272,1,120,0.02,0.04,0.9333,0.00012,8e-05,1.0,-6.27
fbg_n11_ldbm_map193_lb_mhw_0,0,1,544,358,1,167,0.01,0.01,0.93335,2e-05,0.0,1.0,-0.0
fbg_n11_ldbm_map194_lb_grm_0,0,1,576,400,1,265,0.02,0.04,0.93325,0.0001,0.00023,1.0,-59.31
fbg_n11_ldbm_map195_lb_ctm_0,0,1,448,320,1,159,0.02,0.14,0.93335,9e-05,0.0,1.0,-0.0
fbg_n11_ldbm_map196_lb_brg_0,0,1,320,448,0,24,0.0,0.01,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map197_lb_shb_0,0,1,448,272,1,234,0.0,0.01,0.93335,0.0,0.00014,1.0,-0.1
fbg_n11_ldbm_map198_lb_exb_0,0,1,480,304,1,120,0.0,0.0,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map199_lb_llp_0,0,1,544,384,1,130,0.01,0.01,0.93335,0.0,0.0,1.0,-0.0
fbg_n11_ldbm_map200_lb_pla_0,0,1,432,272,1,129,0.05,0.16,0.93345,0.00012,0.00014,1.0,-6.21
fbg_n11_ldbm_map201_lb_pot_0,0,1,448,224,1,158,0.03,0.03,0.93322,0.0001,0.00013,1.0,-0.9
fbg_n11_ldbm_map202_lb_sct_0,0,2,320,224,0,46,0.01,0.01,0.93338,6e-05,9e-05,1.0,-7.08
fbg_n11_ldbm_map202_lb_sct_0,1,2,320,224,0,46,0.0,0.0,0.93335,6e-05,7e-05,1.0,-0.01
fbg_n11_ldbm_map203_lb_hng_0,0,1,320,224,0,43,0.0,0.0,0.93335,6e-05,7e-05,1.0,-0.01
fbg_n11_ldbm_map204_lb_tsp_0,0,1,512,336,1,4,0.31,0.42,0.93322,9e-05,4e-05,1.0,-12.84
fbg_n11_ldbm_map910_lb_mst_w,0,1,448,352,1,183,0.02,0.03,0.93342,4e-05,0.00013,1.0,-5.7
fbg_n11_ldbm_map911_lb_baz_w,0,1,480,288,1,191,0.01,0.12,0.93335,0.00011,0.00019,1.0,0.06
fbg_n11_ldbm_map912_lb_plz_w,0,1,512,400,1,202,0.02,0.03,0.93339,9e-05,0.00019,1.0,-68.83
fbg_n11_ldbm_map913_lb_gat_w,0,1,352,240,0,90,0.01,0.01,0.93336,1e-05,0.00021,1.0,8.59
fbg_n11_ldbm_map914_lb_hus_w,0,1,416,304,1,119,0.04,0.04,0.93342,0.00014,6e-05,1.0,-49.6
fbg_n11_ldbm_map915_lb_wpn_w,0,1,416,224,1,38,0.04,0.06,0.93322,7e-05,7e-05,1.0,0.9
fbg_n11_ldbm_map916_lb_rfs_w,0,1,400,224,1,147,0.0,0.01,0.93331,3e-05,0.00019,1.0,-4.89
fbg_n11_ldbm_map917_lb_hig_w,0,1,320,416,0,84,0.01,0.01,0.93343,9e-05,0.00016,1.0,-2.38
fbg_n11_ldbm_map917a_lb_omg_w,0,1,480,320,1,110,0.03,0.04,0.93344,0.00013,0.00015,1.0,-30.94
fbg_n11_ldbm_map918_lb_obs_m,0,2,512,432,1,163,0.05,0.05,0.93339,8e-05,0.00011,1.0,-19.9
fbg_n11_ldbm_map918_lb_obs_m,1,2,320,224,0,163,0.14,0.22,0.93333,0.00012,0.00014,1.0,-20.82
fbg_n11_ldbm_map919_lb_ptm_m,0,1,448,224,1,164,0.03,0.03,0.93322,0.0001,0.00013,1.0,-0.9
fbg_n11_ldbm_map920_lb_mst_r,0,1,448,352,1,181,0.02,0.03,0.93342,4e-05,0.00013,1.0,-5.7
fbg_n11_ldbm_map921_lb_baz_r,0,1,480,288,1,205,0.01,0.12,0.93335,0.00011,0.00019,1.0,0.06
fbg_n11_ldbm_map922_lb_plz_r,0,1,512,400,1,233,0.02,0.03,0.93339,9e-05,0.00019,1.0,-68.83
fbg_n11_ldbm_map924_lb_hus_r,0,1,416,304,1,124,0.04,0.04,0.93342,0.00014,6e-05,1.0,-49.6
fbg_n11_ldbm_map925_lb_wpn_r,0,1,416,224,1,38,0.04,0.06,0.93322,7e-05,7e-05,1.0,0.9
fbg_n11_ldbm_map926_lb_rfs_r,0,1,400,224,1,160,0.0,0.01,0.93331,3e-05,0.00019,1.0,-4.89
fbg_n11_ldbm_map927_lb_hig_r,0,1,320,416,0,77,0.01,0.02,0.93343,9e-05,0.00016,1.0,-2.38
fbg_n12_gzml_map251_gz_ent_1,0,1,320,432,0,20,0.0,0.0,0.93335,0.0,0.0,1.0,-0.0
fbg_n12_gzml_map252_gz_cav_0,0,1,624,384,1,49,0.03,0.05,0.93339,9e-05,0.00019,1.0,-9.19
fbg_n12_gzml_map253_gz_cav_1,0,1,576,368,1,168,0.02,0.03,0.93329,7e-05,6e-05,1.0,-23.85
fbg_n12_gzml_map254_gz_hal_0,0,1,576,432,1,223,0.05,0.26,0.93325,0.00012,0.00015,1.0,-17.78
fbg_n12_gzml_map254a_gz_bel_0,0,1,384,256,0,49,0.0,0.0,0.93335,8e-05,0.0,1.0,-0.0
fbg_n12_gzml_map255_gz_xit_0,0,1,480,368,1,108,0.04,0.06,0.93326,9e-05,0.00017,1.0,-4.65
fbg_n12_gzml_map256_gz_xit_1,0,1,448,368,1,33,0.02,0.06,0.93335,0.00012,0.00019,1.0,-26.47
fbg_n13_brmc_map260_bu_ent_0,0,1,320,288,0,98,0.01,0.11,0.93331,2e-05,7e-05,1.0,19.15
fbg_n13_brmc_map261_bu_res_0,0,1,384,288,0,183,0.02,0.17,0.93345,9e-05,8e-05,1.0,2.03
fbg_n13_brmc_map263_bu_res_2,0,1,480,288,1,244,0.02,0.11,0.93337,8e-05,7e-05,1.0,-1.89
fbg_n13_brmc_map264_bu_bel_0,0,1,400,272,1,77,0.01,0.01,0.93345,4e-05,0.00021,1.0,-6.84
fbg_n13_brmc_map265_bu_cyd_0,0,1,418,320,1,251,0.01,0.02,0.93334,6e-05,0.00019,1.0,-12.38
fbg_n13_brmc_map266_bu_squ_0,0,1,416,256,1,248,0.01,0.15,0.93333,3e-05,0.00015,1.0,-6.0
fbg_n13_brmc_map267_bu_pal_0,0,1,320,496,1,142,0.04,0.11,0.93334,9e-05,0.00017,1.0,4.13
fbg_n13_brmc_map268_bu_srr_0,0,1,320,304,0,78,0.01,0.01,0.93328,2e-05,0.00015,1.0,-10.55
fbg_n13_brmc_map269_bu_srl_0,0,1,400,448,1,195,0.01,0.01,0.93321,0.00011,0.00013,1.0,-6.97
fbg_n13_brmc_map270_bu_den_0,0,1,416,336,1,74,0.02,0.03,0.93333,0.00014,0.00023,1.0,-35.83
fbg_n13_brmc_map271_bu_bed_0,0,1,480,256,1,76,0.01,0.01,0.93335,4e-05,2e-05,1.0,0.01
fbg_n13_brmc_map272_bu_pth_0,0,1,320,320,0,30,0.01,0.03,0.93331,7e-05,0.00012,1.0,19.6
fbg_n13_brmc_map273_bu_hal_0,0,1,336,240,0,40,0.0,0.0,0.93335,1e-05,3e-05,1.0,0.18
fbg_n13_brmc_map274_bu_hal_1,0,1,544,304,1,101,0.02,0.04,0.93325,9e-05,0.00016,1.0,-23.45
fbg_n13_brmc_map274a_bu_hal_2,0,1,544,304,1,101,0.02,0.04,0.93325,9e-05,0.00016,1.0,-23.45
fbg_n13_brmc_map275_bu_tre_0,0,1,320,272,0,51,0.0,0.01,0.93335,4e-05,0.0,1.0,-0.0
fbg_n13_brmc_map276_bu_wep_0,0,1,320,256,0,33,0.0,0.0,0.93335,0.0,0.0,1.0,-0.0
fbg_n13_brmc_map277_bu_int_0,0,1,544,224,1,133,0.06,0.08,0.93345,0.00011,5e-05,1.0,-10.18
fbg_n13_brmc_map278_bu_int_1,0,1,448,288,1,117,0.01,0.03,0.93335,3e-05,0.00013,1.0,13.79
fbg_n14_chcb_map300_ch_fst_0,0,1,320,432,0,143,0.02,0.02,0.9333,6e-05,3e-05,1.0,-52.81
fbg_n14_chcb_map301_ch_hlg_0,0,1,480,288,1,210,0.02,0.02,0.93323,1e-05,0.0,1.0,-83.92
fbg_n14_chcb_map302_ch_fgd_0,0,1,512,528,1,340,0.03,0.04,0.9333,0.00011,2e-05,1.0,-46.26
fbg_n14_chcb_map303_ch_dwl_0,0,1,336,480,1,87,0.0,0.01,0.93326,6e-05,0.00011,1.0,-5.34
fbg_n14_chcb_map304_ch_pds_0,0,1,480,528,1,218,0.06,4.1,0.93321,9e-05,0.00011,1.0,5.15
fbg_n14_chcb_map305_ch_pds_1,0,1,576,448,1,380,0.02,0.03,0.93343,4e-05,0.0002,1.0,-3.56
fbg_n15_kuin_map310_km_ent_0,0,1,512,512,1,42,0.03,0.03,0.93339,7e-05,0.0002,1.0,-66.74
fbg_n15_kuin_map311a_km_dwn_0,0,1,640,224,1,99,0.04,0.05,0.93324,7e-05,0.00014,1.0,-12.98
fbg_n15_kuin_map311b_km_dwn_1,0,1,480,352,1,158,0.02,0.04,0.93342,7e-05,0.0001,1.0,-18.06
fbg_n15_kuin_map311c_km_dwn_2,0,1,640,224,1,111,0.04,0.06,0.93324,7e-05,0.00014,1.0,-12.98
fbg_n15_kuin_map311d_km_dwn_3,0,1,640,224,1,174,0.03,0.04,0.93324,7e-05,0.00014,1.0,-12.98
fbg_n15_kuin_map315_km_red_0,0,1,512,512,1,64,0.04,0.06,0.93339,7e-05,0.0002,1.0,-66.74
fbg_n15_kuin_map316_km_swp_0,0,1,400,336,1,289,0.04,0.05,0.93319,7e-05,0.0001,1.0,-61.12
fbg_n15_kuin_map317_km_swp_1,0,1,400,336,1,256,0.02,0.02,0.93338,8e-05,0.00015,1.0,-55.5
fbg_n15_kuin_map318_km_swp_2,0,1,400,336,1,347,0.03,0.04,0.93321,4e-05,8e-05,1.0,-60.02
fbg_n15_kuin_map319_km_swp_3,0,1,400,336,1,154,0.01,0.02,0.9333,3e-05,0.00011,1.0,-61.92
fbg_n15_kuin_map320_km_the_0,0,1,640,448,1,167,0.09,0.14,0.93341,0.00012,7e-05,1.0,-7.56
fbg_n15_kuin_map321_km_thi_0,0,1,432,224,1,85,0.0,0.02,0.93336,5e-05,8e-05,1.0,0.22
fbg_n15_kuin_map322_km_fet_0,0,1,448,304,1,74,0.06,0.3,0.93323,0.0001,0.00022,1.0,2.77
fbg_n15_kuin_map322a_km_fet_1,0,1,400,368,1,48,0.01,0.01,0.93335,1e-05,0.0,1.0,-0.0
fbg_n16_stgt_map330_sg_rnd_0,0,1,320,416,0,43,0.02,0.04,0.93345,9e-05,0.00019,1.0,17.81
fbg_n16_stgt_map331_sg_rnd_1,0,2,560,304,1,187,0.01,0.03,0.93338,0.0,7e-05,1.0,-4.56
fbg_n16_stgt_map331_sg_rnd_1,1,2,336,240,0,90,0.08,0.21,0.93336,7e-05,8e-05,1.0,0.21
fbg_n16_stgt_map332_sg_rnd_3,0,2,352,448,0,95,0.02,0.03,0.93339,6e-05,0.00016,1.0,-13.4
fbg_n16_stgt_map332_sg_rnd_3,1,2,320,224,0,95,0.09,0.17,0.93325,9e-05,0.00019,1.0,-0.0
fbg_n16_stgt_map340_sg_trn_0,0,1,384,464,1,153,0.02,0.03,0.93336,8e-05,0.00016,1.0,-17.8
fbg_n16_stgt_map340a_sg_trn_1,0,1,336,368,0,106,0.21,1.34,0.93331,6e-05,0.00014,1.0,-7.84
fbg_n16_stgt_map341_sg_trn_2,0,1,416,464,1,170,0.02,0.02,0.9333,5e-05,9e-05,1.0,-49.77
fbg_n16_stgt_map341a_sg_trn_3,0,1,336,400,0,74,0.8,4.16,0.93329,8e-05,8e-05,1.0,-13.64
fbg_n16_stgt_map342_sg_top_0,0,2,512,432,1,202,0.03,0.04,0.93336,0.00015,9e-05,1.0,-17.21
fbg_n16_stgt_map342_sg_top_0,1,2,320,224,0,175,1.61,8.76,0.93325,9e-05,0.00019,1.0,-0.0
fbg_n16_stgt_map342x_sg_top_3,0,2,512,432,1,207,0.03,0.04,0.93336,0.00015,9e-05,1.0,-17.21
fbg_n16_stgt_map342x_sg_top_3,1,2,320,224,0,187,0.71,4.98,0.93325,9e-05,0.00019,1.0,-0.0
fbg_n16_stgt_map343_sg_top_1,0,2,576,400,1,205,0.02,0.03,0.93339,8e-05,0.00022,1.0,-33.11
fbg_n16_stgt_map343_sg_top_1,1,2,320,224,0,205,0.07,0.1,0.93325,9e-05,0.00019,1.0,-0.0
fbg_n16_stgt_map345_sg_top_2,0,1,512,240,1,65,0.03,0.04,0.93342,0.00014,0.00012,1.0,-23.46
fbg_n16_stgt_map350_sg_alx_0,0,2,352,448,0,86,0.02,0.02,0.93327,0.00013,8e-05,1.0,-49.0
fbg_n16_stgt_map350_sg_alx_0,1,2,320,224,0,86,0.19,0.19,0.93325,9e-05,0.00019,1.0,-0.0
fbg_n16_stgt_map351_sg_alx_1,0,1,432,352,1,142,0.03,0.05,0.93348,1e-05,7e-05,1.0,-46.76
fbg_n16_stgt_map352_sg_alx_2,0,1,608,336,1,106,0.04,0.05,0.93331,0.00014,0.0001,1.0,-14.8
fbg_n16_stgt_map352a_sg_alx_5,0,1,608,336,1,106,0.04,0.05,0.93331,0.00014,0.0001,1.0,-14.8
fbg_n16_stgt_map353_sg_alx_3,0,1,400,272,1,142,0.05,0.11,0.93325,0.00011,6e-05,1.0,1.02
fbg_n16_stgt_map354_sg_alx_4,0,1,432,256,1,121,0.03,0.04,0.93347,0.00014,6e-05,1.0,-54.42
fbg_n18_gtre_map360_gt_grd_0,0,1,336,496,1,127,0.04,0.06,0.93344,7e-05,0.00011,1.0,-50.36
fbg_n18_gtre_map361_gt_grd_1,0,1,336,496,1,99,0.02,0.03,0.93343,0.0,0.00011,1.0,-4.0
fbg_n18_gtre_map362_gt_grd_2,0,1,320,320,0,125,0.02,0.03,0.93344,4e-05,0.00017,1.0,-11.7
fbg_n18_gtre_map363_gt_dun_0,0,1,320,448,0,142,0.06,0.09,0.93347,0.0001,0.00012,1.0,-29.95
fbg_n18_gtre_map364_gt_dun_1,0,1,512,448,1,114,0.01,0.01,0.93331,8e-05,0.00011,1.0,-29.57
fbg_n18_gtre_map365_gt_dun_2,0,1,512,448,1,117,0.01,0.01,0.93331,8e-05,0.00011,1.0,-29.57
fbg_n18_gtre_map366_gt_dun_3,0,1,320,560,1,117,0.05,0.05,0.93341,8e-05,5e-05,1.0,-16.6
fbg_n18_gtre_map367_gt_dun_4,0,1,320,320,0,103,0.01,0.01,0.93335,7e-05,0.0001,1.0,-50.6
fbg_n18_gtre_map368_gt_dun_5,0,1,416,352,1,158,0.04,0.05,0.93321,7e-05,0.00012,1.0,2.43
fbg_n18_gtre_map369_gt_dun_6,0,1,320,448,0,126,0.03,0.05,0.93327,8e-05,8e-05,1.0,-18.46
fbg_n18_gtre_map370_gt_dun_7,0,1,640,448,1,60,0.0,0.01,0.9334,0.0001,8e-05,1.0,-42.0
fbg_n18_gtre_map371_gt_dun_8,0,1,528,224,1,121,0.01,0.07,0.93341,6e-05,2e-05,1.0,0.63
fbg_n18_gtre_map372_gt_dun_9,0,1,464,320,1,227,0.02,0.03,0.93329,8e-05,0.00011,1.0,-19.61
fbg_n18_gtre_map373_gt_dun_a,0,1,320,224,0,78,0.04,0.07,0.93328,0.00014,0.00017,1.0,-12.29
fbg_n18_gtre_map374_gt_dun_b,0,1,640,256,1,109,0.03,0.04,0.93323,8e-05,0.00012,1.0,-22.92
fbg_n18_gtre_map375_gt_dun_c,0,1,528,272,1,62,0.01,0.02,0.93342,4e-05,0.00016,1.0,-6.6
fbg_n18_gtre_map375x_gt_dun_d,0,1,528,272,1,62,0.01,0.02,0.93342,4e-05,0.00016,1.0,-6.6
fbg_n18_gtre_map376_gt_dun_e,0,1,384,352,0,68,0.03,0.04,0.93324,5e-05,6e-05,1.0,-15.3
fbg_n18_gtre_map376x_gt_dun_f,0,1,384,352,0,68,0.03,0.04,0.93324,5e-05,6e-05,1.0,-15.3
fbg_n19_clir_map380_cy_twn_0,0,1,320,432,0,67,0.02,0.05,0.93338,8e-05,0.00023,1.0,-6.29
fbg_n19_clir_map380x_cy_twn_1,0,1,320,432,0,67,0.02,0.05,0.93338,8e-05,0.00023,1.0,-6.29
fbg_n19_clir_map381_cy_twn_2,0,1,432,464,1,160,0.02,0.07,0.93339,1e-05,6e-05,1.0,14.1
fbg_n19_clir_map381a_cy_twn_4,0,1,592,224,1,96,0.02,0.03,0.93335,9e-05,0.00011,1.0,-8.2
fbg_n19_clir_map381x_cy_twn_3,0,1,416,464,1,160,0.02,0.07,0.93339,1e-05,6e-05,1.0,14.1
fbg_n19_clir_map382_cy_twn_5,0,1,608,288,1,144,0.03,0.04,0.93335,9e-05,0.00012,1.0,-8.4
fbg_n19_clir_map382x_cy_twn_6,0,1,608,288,1,144,0.03,0.04,0.93335,9e-05,0.00012,1.0,-8.4
fbg_n19_clir_map383_cy_twn_7,0,1,400,320,1,157,0.02,0.03,0.93333,8e-05,0.00021,1.0,-15.51
fbg_n19_clir_map383x_cy_twn_8,0,1,400,320,1,157,0.02,0.03,0.93333,8e-05,0.00021,1.0,-15.51
fbg_n19_clir_map384_cy_twn_9,0,1,480,560,1,169,0.01,0.01,0.93334,3e-05,0.00013,1.0,-28.79
fbg_n19_clir_map384x_cy_twn_a,0,1,480,560,1,169,0.01,0.01,0.93334,3e-05,0.00013,1.0,-28.79
fbg_n19_clir_map385_cy_twn_b,0,1,464,416,1,179,0.01,0.02,0.93334,4e-05,9e-05,1.0,-33.6
fbg_n19_clir_map386_cy_twn_c,0,1,592,256,1,165,0.01,0.01,0.93338,5e-05,8e-05,1.0,-16.8
fbg_n19_clir_map386x_cy_twn_d,0,1,560,256,1,165,0.01,0.01,0.93338,5e-05,8e-05,1.0,-16.8
fbg_n19_clir_map387_cy_twn_e,0,1,400,352,1,107,0.04,0.29,0.93319,9e-05,0.00018,1.0,13.99
fbg_n19_clir_map387x_cy_twn_f,0,1,384,416,0,102,0.04,0.27,0.93319,9e-05,0.00018,1.0,13.99
fbg_n19_clir_map388_cy_twn_g,0,1,528,304,1,126,0.02,0.03,0.93344,0.00012,0.0002,1.0,-10.19
fbg_n19_clir_map388x_cy_twn_j,0,1,528,304,1,126,0.02,0.03,0.93344,0.00012,0.0002,1.0,-10.19
fbg_n19_clir_map389_cy_twn_h,0,1,672,224,1,276,0.02,0.03,0.93337,8e-05,8e-05,1.0,-5.42
fbg_n19_clir_map389x_cy_twn_i,0,1,640,224,1,276,0.02,0.02,0.93337,8e-05,8e-05,1.0,-5.42
fbg_n20_trno_map400_tr_gat_0,0,1,432,368,1,108,0.05,0.26,0.93344,0.0001,0.00012,1.0,-12.21
fbg_n20_trno_map401_tr_res_0,0,1,640,416,1,237,0.04,0.05,0.93333,9e-05,0.00011,1.0,-47.69
fbg_n20_trno_map402_tr_ekh_0,0,1,576,384,1,130,0.02,0.03,0.93322,3e-05,8e-05,1.0,-14.78
fbg_n20_trno_map402a_tr_fqh_0,0,1,416,224,1,128,0.11,0.53,0.93338,0.0001,0.00019,1.0,2.98
fbg_n20_trno_map403_tr_whf_0,0,1,464,448,1,93,0.03,0.04,0.93341,4e-05,0.00017,1.0,-8.73
fbg_n20_trno_map404_tr_fkh_0,0,1,512,256,1,99,0.01,0.02,0.93328,9e-05,4e-05,1.0,-1.12
fbg_n20_trno_map405_tr_wbh_0,0,1,416,416,1,196,0.01,0.01,0.9333,8e-05,0.00013,1.0,-40.3
fbg_n20_trno_map405a_tr_fbh_0,0,1,640,224,1,100,0.04,0.04,0.93338,0.00014,9e-05,1.0,-2.66
fbg_n20_trno_map406_tr_bta_0,0,1,768,224,1,219,0.04,0.05,0.93345,0.00011,5e-05,1.0,0.85
fbg_n20_trno_map407_tr_wat_0,0,1,800,224,1,25,0.01,0.01,0.93326,2e-05,2e-05,1.0,-3.37
fbg_n20_trno_map409_tr_kha_0,0,1,592,320,1,292,0.08,2.23,0.93328,8e-05,7e-05,1.0,4.49
fbg_n20_trno_map410_tr_qhm_0,0,1,368,256,0,110,0.01,0.01,0.93336,6e-05,8e-05,1.0,-15.51
fbg_n20_trno_map411_tr_khm_0,0,1,448,320,1,99,0.01,0.02,0.93326,6e-05,8e-05,1.0,-13.89
fbg_n20_trno_map412_tr_bhe_0,0,1,400,224,1,205,0.01,0.03,0.93334,0.00012,0.00013,1.0,-19.88
fbg_n20_trno_map413_tr_bhm_0,0,1,752,288,1,161,0.03,0.04,0.93341,4e-05,0.00012,1.0,-2.35
fbg_n20_trno_map414_tr_tms_0,0,2,400,320,1,94,0.03,0.04,0.9334,9e-05,8e-05,1.0,9.02
fbg_n20_trno_map414_tr_tms_0,1,2,400,320,1,94,0.03,0.04,0.9334,9e-05,8e-05,1.0,9.02
fbg_n20_trno_map415_tr_tot_0,0,1,576,400,1,107,0.05,0.06,0.93329,0.00011,0.00018,1.0,-18.55
fbg_n20_trno_map416_tr_tot_1,0,1,320,256,0,20,0.07,0.07,0.93338,0.00012,0.00015,1.0,3.74
fbg_n20_trno_map417_tr_bar_0,0,1,448,448,1,121,0.01,0.01,0.93329,7e-05,0.00013,1.0,-26.02
fbg_n21_grgr_map420_gr_cen_0,0,1,384,448,0,169,0.04,0.04,0.93335,0.00013,0.00017,1.0,-49.62
fbg_n21_grgr_map421_gr_lef_0,0,2,512,320,1,76,0.01,0.02,0.93324,2e-05,0.00012,1.0,-4.64
fbg_n21_grgr_map421_gr_lef_0,1,2,336,272,0,47,7.21,23.3,0.93323,0.00016,8e-05,1.0,-19.73
